Food_Ingredient,Category,Health_Label,Nutrition_Score,Remarks
Isobutyl acetate variant 464,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Oats variant 743 variant 928 variant 95,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Brown sugar variant 180 variant 597,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Ferric pyrophosphate variant 432 variant 16,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Turmeric variant 591,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Ginger extract variant 44 variant 312,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Folic acid variant 811 variant 460,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Trans fat variant 311 variant 267,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Polydextrose variant 870 variant 309,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium caseinate variant 57 variant 210 variant 780,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Sodium lauryl sulfate variant 669,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Propylene glycol variant 925 variant 641,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Black pepper variant 889,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sea salt variant 655 variant 735,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Triethyl citrate variant 474 variant 582 variant 638,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Black pepper variant 32 variant 241 variant 949 variant 826 variant 942 variant 368,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Ferric pyrophosphate variant 432 variant 267 variant 547 variant 501 variant 717,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Olive oil variant 577 variant 760 variant 129,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Amaranth grain,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Magnesium stearate,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Preservative 211 variant 703,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Riboflavin variant 275 variant 259 variant 79,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Carboxymethylcellulose,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Mustard oil variant 32 variant 431,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Fumaric acid variant 682,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Calcium propionate variant 752 variant 942,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Color Blue 1 variant 878 variant 406,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Ginger extract variant 44 variant 663,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Himalayan pink salt variant 709 variant 618,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Thiamine mononitrate,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Ferrous fumarate variant 101 variant 187 variant 573,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Brown sugar variant 404 variant 101,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sodium citrate variant 203 variant 532 variant 305 variant 961 variant 409 variant 211,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Sodium benzoate variant 86,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Coconut sugar variant 769 variant 168 variant 960,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Clove variant 203 variant 886,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Riboflavin variant 275 variant 624 variant 296,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Desi ghee variant 961 variant 251 variant 723,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium aluminosilicate variant 282 variant 626 variant 668 variant 815 variant 162 variant 637,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Mustard oil variant 655 variant 609 variant 190,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Ammonium citrate variant 393 variant 907,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Propyl gallate variant 24,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
High fructose corn syrup variant 716 variant 970,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Isinglass variant 18,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Titanium dioxide variant 88,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Riboflavin variant 275 variant 624 variant 147 variant 810 variant 214 variant 310,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Himalayan pink salt variant 153 variant 595,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Dimethylpolysiloxane variant 170,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Hydrogenated oil variant 375 variant 362 variant 306,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Benzoyl peroxide variant 30 variant 303,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Pea protein variant 430 variant 192 variant 885,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Vegetable fiber variant 71 variant 85 variant 264,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Bleaching agent variant 79 variant 453 variant 100,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Milk solids variant 336 variant 492 variant 994,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Black salt variant 236 variant 128 variant 262,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Brown sugar variant 49 variant 857 variant 667,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Artificial butter flavor variant 510 variant 225 variant 483,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Paneer solids variant 458 variant 57 variant 116 variant 758 variant 618,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Cocoa powder variant 661,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Pectin variant 716,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium gluconate variant 770,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Color Red 40 variant 148 variant 688 variant 10,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Black salt variant 236 variant 128,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Mannitol variant 881 variant 927 variant 947,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium phosphate variant 45 variant 146 variant 173,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Stevia variant 465,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Artificial vanillin variant 971,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Flax seeds variant 853 variant 726,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium citrate variant 652 variant 220,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Amla extract variant 713,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Potassium sorbate variant 716 variant 562 variant 169 variant 121,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Rock salt variant 675 variant 906 variant 218 variant 147,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Moringa powder variant 606 variant 224,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Sodium citrate variant 203 variant 507 variant 977 variant 440 variant 413,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Color Red 40 variant 142 variant 760 variant 132,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Rock salt variant 675 variant 148 variant 790 variant 218,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Ferric pyrophosphate variant 432 variant 267 variant 160,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Butylated hydroxytoluene (BHT),Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Quinoa variant 395 variant 159,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium phosphate variant 45 variant 146 variant 571,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Sodium acetate variant 335 variant 393 variant 92,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Trans fat variant 955 variant 595,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Ammonium citrate variant 393 variant 96,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Black salt variant 236 variant 128 variant 832,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Microcrystalline cellulose variant 411 variant 972,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Onion powder variant 548,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Acesulfame potassium variant 485,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Color Red 40 variant 148 variant 557,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
High fructose corn syrup variant 716,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Mustard oil variant 560 variant 224,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Sodium carbonate variant 27,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Isomaltooligosaccharides variant 202 variant 316 variant 435 variant 153,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Ginger variant 277,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Dimethylpolysiloxane variant 170 variant 343 variant 129 variant 581 variant 467 variant 943,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Black pepper variant 32 variant 241 variant 433 variant 613 variant 614,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Propylene glycol,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Sodium aluminosilicate variant 282 variant 626 variant 668 variant 815,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Pea protein variant 430 variant 776,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Turmeric oleoresin variant 572 variant 434,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Microcrystalline cellulose variant 463 variant 313,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Dimethylpolysiloxane variant 398 variant 639,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Ammonium bicarbonate variant 517 variant 887,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Artificial flavoring variant 19,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Sodium benzoate variant 86 variant 827,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Desi ghee variant 961 variant 385 variant 950,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Rice flour variant 84 variant 251,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Ginger extract variant 44 variant 663 variant 433,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Ferric pyrophosphate variant 175 variant 262 variant 59 variant 515 variant 477,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium aluminosilicate,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Rock salt variant 20 variant 319,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Mannitol variant 786 variant 725 variant 223 variant 52,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Sodium aluminosilicate variant 162 variant 743 variant 668,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Artificial butter flavor variant 510 variant 92,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Potassium nitrate variant 988 variant 248,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Mustard oil variant 106 variant 542,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Desi ghee variant 961 variant 251 variant 723 variant 665,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Mustard oil variant 32 variant 614,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Brown sugar variant 180,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Pumpkin seeds variant 664,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Sodium aluminosilicate variant 282 variant 626 variant 668,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Artificial vanillin variant 971 variant 505,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Maltodextrin variant 360 variant 209,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Almonds variant 287 variant 904,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
"Artificial color (E102, E110) variant 191 variant 459 variant 245",Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Microcrystalline cellulose variant 411 variant 972 variant 654,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Guar gum variant 695 variant 541 variant 644,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Paneer solids variant 458 variant 57,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Dextrose monohydrate,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Color Red 40 variant 148 variant 221 variant 103,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Dextrose monohydrate variant 590,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Quinoa variant 395,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Polydextrose variant 870 variant 748 variant 564 variant 153,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Dipotassium phosphate,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Sodium phosphate variant 318,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Amaranth grain variant 21 variant 379 variant 12,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Color Blue 1 variant 513,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Ferric pyrophosphate variant 432,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Ginger variant 281,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium citrate variant 203 variant 532 variant 305 variant 10,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Triethyl citrate variant 474 variant 582,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Coconut sugar,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Niacinamide variant 547 variant 498 variant 322 variant 898 variant 154 variant 259,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Coconut sugar variant 769 variant 168 variant 145 variant 536,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Rock salt variant 20 variant 319 variant 554,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Ammonium bicarbonate variant 565,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Flax seeds variant 853 variant 313 variant 336 variant 20,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Potassium nitrate variant 988 variant 677,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Rock salt variant 20 variant 224,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Turmeric variant 951 variant 283 variant 228,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Niacinamide variant 972 variant 490 variant 947,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Ginger variant 5,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Lecithin variant 488 variant 627,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Xanthan gum variant 138 variant 501 variant 80 variant 323,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Curry leaves variant 854,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Xanthan gum variant 138,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Alpha tocopherol variant 637,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Refined flour (Maida) variant 423,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Propyl gallate variant 975,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Acesulfame potassium variant 347,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Pea protein variant 430 variant 192,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Benzoyl peroxide variant 542 variant 658,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Ammonium chloride,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
